Mes,Saldo Anterior,Aportación,Bono,Interés,Cargo Fijo,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
234,3588335.011765717,12611.907680342754,0,28808.0,-316.0,0,-4210.0,3625228.91944606
235,3625228.91944606,12611.907680342754,0,29103.0,-316.0,0,-4253.0,3662374.827126403
236,3662374.827126403,12611.907680342754,0,29400.0,-316.0,0,-4297.0,3699773.734806746
237,3699773.734806746,12611.907680342754,0,29699.0,-316.0,0,-4340.0,3737428.6424870887
238,3737428.6424870887,12611.907680342754,0,30000.0,-316.0,0,-4384.0,3775340.5501674316
239,3775340.5501674316,12611.907680342754,0,30304.0,-316.0,0,-4429.0,3813511.4578477745
240,3813511.4578477745,12611.907680342754,0,30609.0,-316.0,0,-4473.0,3851943.3655281174
241,3851943.3655281174,12611.907680342754,0,30916.0,-332.0,0,-4518.0,3890621.2732084603
242,3890621.2732084603,13241.241873591858,0,31231.0,-332.0,0,-4564.0,3930197.515082052
243,3930197.515082052,13241.241873591858,0,31548.0,-332.0,0,-4611.0,3970043.7569556437
244,3970043.7569556437,13241.241873591858,0,31866.0,-332.0,0,-4657.0,4010161.9988292353
245,4010161.9988292353,13241.241873591858,0,32187.0,-332.0,0,-4704.0,4050554.240702827
246,4050554.240702827,13241.241873591858,0,32510.0,-332.0,0,-4751.0,4091222.4825764187
247,4091222.4825764187,13241.241873591858,0,32836.0,-332.0,0,-4799.0,4132168.7244500103
248,4132168.7244500103,13241.241873591858,0,33163.0,-332.0,0,-4847.0,4173393.966323602
249,4173393.966323602,13241.241873591858,0,33493.0,-332.0,0,-4895.0,4214901.208197193
250,4214901.208197193,13241.241873591858,0,33825.0,-332.0,0,-4943.0,4256692.450070785
251,4256692.450070785,13241.241873591858,0,34159.0,-332.0,0,-4992.0,4298768.6919443775
252,4298768.6919443775,13241.241873591858,0,34496.0,-332.0,0,-5042.0,4341131.93381797
253,4341131.93381797,13241.241873591858,0,34835.0,-348.0,0,-5091.0,4383769.175691562
254,4383769.175691562,13901.979843084093,0,35181.0,-348.0,0,-5142.0,4427362.155534646
255,4427362.155534646,13901.979843084093,0,35530.0,-348.0,0,-5193.0,4471253.135377729
256,4471253.135377729,13901.979843084093,0,35881.0,-348.0,0,-5244.0,4515444.115220813
257,4515444.115220813,13901.979843084093,0,36235.0,-348.0,0,-5296.0,4559937.095063897
258,4559937.095063897,13901.979843084093,0,36591.0,-348.0,0,-5348.0,4604734.074906981
259,4604734.074906981,13901.979843084093,0,36949.0,-348.0,0,-5400.0,4649837.054750064
260,4649837.054750064,13901.979843084093,0,37310.0,-348.0,0,-5453.0,4695248.034593148
261,4695248.034593148,13901.979843084093,0,37673.0,-348.0,0,-5506.0,4740969.014436232
262,4740969.014436232,13901.979843084093,0,38039.0,-348.0,0,-5559.0,4787002.994279316
263,4787002.994279316,13901.979843084093,0,38407.0,-348.0,0,-5613.0,4833350.974122399
264,4833350.974122399,13901.979843084093,0,38778.0,-348.0,0,-5667.0,4880015.953965483
265,4880015.953965483,13901.979843084093,0,39151.0,-366.0,0,-5722.0,4926980.933808567
266,4926980.933808567,14595.68863725399,0,39533.0,-366.0,0,-5778.0,4974965.622445821
267,4974965.622445821,14595.68863725399,0,39916.0,-366.0,0,-5834.0,5023277.311083075
268,5023277.311083075,14595.68863725399,0,40303.0,-366.0,0,-5890.0,5071919.9997203285
269,5071919.9997203285,14595.68863725399,0,40692.0,-366.0,0,-5947.0,5120894.688357582
270,5120894.688357582,14595.68863725399,0,41084.0,-366.0,0,-6004.0,5170204.376994836
271,5170204.376994836,14595.68863725399,0,41478.0,-366.0,0,-6062.0,5219850.06563209
272,5219850.06563209,14595.68863725399,0,41876.0,-366.0,0,-6120.0,5269835.754269344
273,5269835.754269344,14595.68863725399,0,42275.0,-366.0,0,-6179.0,5320161.442906598
274,5320161.442906598,14595.68863725399,0,42678.0,-366.0,0,-6237.0,5370832.131543851
275,5370832.131543851,14595.68863725399,0,43083.0,-366.0,0,-6297.0,5421847.820181105
276,5421847.820181105,14595.68863725399,0,43492.0,-366.0,0,-6356.0,5473213.508818359
277,5473213.508818359,14595.68863725399,0,43902.0,-384.0,0,-6416.0,5524911.197455613
278,5524911.197455613,15324.013500252966,0,44322.0,-384.0,0,-6478.0,5577695.210955866
279,5577695.210955866,15324.013500252966,0,44744.0,-384.0,0,-6539.0,5630840.224456118
280,5630840.224456118,15324.013500252966,0,45169.0,-384.0,0,-6602.0,5684347.237956371
281,5684347.237956371,15324.013500252966,0,45597.0,-384.0,0,-6664.0,5738220.251456624
282,5738220.251456624,15324.013500252966,0,46028.0,-384.0,0,-6727.0,5792461.264956877
283,5792461.264956877,15324.013500252966,0,46462.0,-384.0,0,-6790.0,5847073.278457129
284,5847073.278457129,15324.013500252966,0,46899.0,-384.0,0,-6854.0,5902058.291957382
285,5902058.291957382,15324.013500252966,0,47339.0,-384.0,0,-6919.0,5957418.305457635
286,5957418.305457635,15324.013500252966,0,47782.0,-384.0,0,-6983.0,6013157.318957888
287,6013157.318957888,15324.013500252966,0,48228.0,-384.0,0,-7049.0,6069276.33245814
288,6069276.33245814,15324.013500252966,0,48677.0,-384.0,0,-7114.0,6125779.345958393
289,6125779.345958393,15324.013500252966,0,49129.0,-403.0,0,-7180.0,6182649.359458646
290,6182649.359458646,16088.68177391559,0,49590.0,-403.0,0,-7248.0,6240677.041232562
291,6240677.041232562,16088.68177391559,0,50054.0,-403.0,0,-7315.0,6299101.723006478
292,6299101.723006478,16088.68177391559,0,50522.0,-403.0,0,-7384.0,6357925.4047803935
293,6357925.4047803935,16088.68177391559,0,50992.0,-403.0,0,-7453.0,6417150.086554309
294,6417150.086554309,16088.68177391559,0,51466.0,-403.0,0,-7522.0,6476779.768328225
295,6476779.768328225,16088.68177391559,0,51943.0,-403.0,0,-7592.0,6536816.450102141
296,6536816.450102141,16088.68177391559,0,52423.0,-403.0,0,-7662.0,6597263.131876057
297,6597263.131876057,16088.68177391559,0,52907.0,-403.0,0,-7732.0,6658123.813649973
298,6658123.813649973,16088.68177391559,0,53394.0,-403.0,0,-7804.0,6719399.495423889
299,6719399.495423889,16088.68177391559,0,53884.0,-403.0,0,-7875.0,6781094.177197805
300,6781094.177197805,16088.68177391559,0,54377.0,-403.0,0,-7947.0,6843209.858971721
